person_id,Card_ID
1,6504876475938248
2,4948924115781567
3,348778408016097
4,30535139332877
5,5358714841858395
6,180071965934238
7,4947112201868487
8,4969477515912
9,30533041352562
10,502023098911
11,502039916155
12,5290321730086913
13,4314562087091634574
14,3530225841972074
15,4984564280715084
16,4375945992466109350
17,4376960696027146
18,3578789007547064
19,4206650300899
20,2231934421761047
21,30142851240006
22,4855909776588
23,4694022455515905
24,572294568249
25,2530428146546112
26,180075517176040
27,342961113306013
28,6577936153492637
29,341087317643034
30,3513765821972967
31,4875773893055505
32,213149269471189
33,502032040755
34,4758688091891638
35,4769930024894517441
36,6560223450076275
37,3525609767017203
38,676292518534
39,6510979519426410
40,213106753751005
41,30408993318863
42,180012696116117
43,6011076607541517
44,2280552035192308
45,4045093227172
46,372035574485294
47,5489426223583325
48,4602906112648629647
49,4137580660657353
50,4121418927626623755
51,213157173407975
52,564148926715
53,4386401400468969
54,30145439101442
55,180018321644829
56,3581686447592210
57,3566972845763770
58,3570742709305768
59,676111605017
60,3544329431675628
61,376272852327569
62,6563373906031254
63,060423949183
64,4670886977473540007
65,4040216396837359
66,3591558754080352
67,2238533444864755
68,3504810777067775
69,5313126379168606
70,4732455618498342
71,38844301912637
72,4088601641955
73,4331845357495
74,4088559026228124
75,4933236599278
76,2720089577403825
77,4785142963546034
78,583573452401
79,342507003003515
80,586237625429
81,4660648870916623
82,676129821531
83,4028216919729907
84,4600715427385265479
85,6011484870898400
86,36165700404949
87,4885643195398523
88,4090925544576961
89,4290725074931869
90,4821291889664440640
91,4536208296570869308
92,343570393426190
93,30378132716642
94,4595140704366660978
95,349450678201952
96,341318705056244
97,6011926480222702
98,3586259118243458
99,3548727820928050
100,2237937825278082
101,2650116959756852
102,4250220593060463
103,676225160750
104,3549762074361517
105,5150269057877100
106,180040811551702
107,4006528222239507
108,36033452353260
109,30592690290622
110,4058000199226062
111,6532583861269511
112,6537636376914487
113,349973409561808
114,4066617972257624
115,3581552578034291
116,376048606463524
117,4952069671168826
118,4323082759451644
119,4858268436567844
120,6512209981399814
121,4610015751759473286
122,213182028693769
123,4926279061965387077
124,3548786742385245
125,3571176968147315
126,4512029830068971784
127,371033744307580
128,341496356234375
129,4469216587355643
130,374174172532575
131,4667879936849
132,30358017563608
133,3561435212503000
134,6011219931730899
135,6011823366706363
136,676240955572
